"name","siret","address","legalRepresentative","fiscalYearEndDate","email","phone"
"SARL RACHA","92345678901431","320 Rue Racha, 75000 Paris","Rachida Sarl","31/12","contact@sarlracha.com","0123456986"
"SECA IDF","92345678901432","321 Boulevard de l'IDF, 75000 Paris","Seca IDF","31/12","contact@secaidf.com","0123456987"
"SECURIEST","92345678901433","322 Avenue de l'Est, 75000 Paris","Estelle Sécurité","31/12","contact@securiest.com","0123456988"
"SECURITE PRIVEE EVENEMENTIEL","92345678901434","323 Rue de l'Événement, 75000 Paris","Eve Securite","31/12","contact@spe.com","0123456989"
"SH.GRANDE CUISINE","92345678901435","324 Boulevard de la Cuisine, 75000 Paris","Serge Henri","31/12","contact@shgrandecuisine.com","0123456990"
"SIMSECURITE PRIVEE","92345678901436","325 Avenue Sim, 75000 Paris","Simon Sécurité","31/12","contact@simsecurite.com","0123456991"
"SLS SL SECURITY","92345678901437","326 Rue SLS, 75000 Paris","Salim Security","31/12","contact@sls-security.com","0123456992"
"SM SOFTWARE TESTING","92345678901438","327 Boulevard du Test, 75000 Paris","Sami Mounir","31/12","contact@smsoftware.com","0123456993"
"SMASRI SERVICES","92345678901439","328 Avenue des Services, 75000 Paris","Samir Smasri","31/12","contact@smasriservices.com","0123456994"
"SN PRESSE","92345678901440","329 Rue de la Presse, 75000 Paris","Sylvie Nacer","31/12","contact@snpresse.com","0123456995"
"SOFALOM","92345678901441","330 Boulevard Sofalom, 75000 Paris","Sofia Lemaire","31/12","contact@sofalom.com","0123456996"
"SOFT TRANSPORT","92345678901442","331 Avenue du Transport Doux, 75000 Paris","Sophie Tran","31/12","contact@softtransport.com","0123456997"
"SOLDERIE DE FRANCE","92345678901443","332 Rue de la Solderie, 75000 Paris","François Solde","31/12","contact@solderiedefrance.com","0123456998"
"SORFI","92345678901444","333 Boulevard Sorfi, 75000 Paris","Sofia Robert","31/12","contact@sorfi.com","0123456999"
"SPEED LAVERIE","92345678901445","334 Avenue de la Laverie, 75000 Paris","Laverie Speed","31/12","contact@speedlaverie.com","0123457000"
"SPS CONNECT","92345678901446","335 Rue de la Connexion, 75000 Paris","SPS Connect","31/12","contact@spsconnect.com","0123457001"
"SRE","92345678901447","336 Boulevard SRE, 75000 Paris","Stéphane Remy","31/12","contact@sre.com","0123457002"
"STE 29 RENOVATION","92345678901448","337 Avenue de la Rénovation, 29000 Quimper","Stéphane Le Gall","31/12","contact@ste29renov.com","0123457003"
"TALEB-COM","92345678901449","338 Rue de la Com, 75000 Paris","Taleb Communication","31/12","contact@talebcom.com","0123457004"
"TAXI MAYAS","92345678901450","339 Boulevard des Mayas, 75000 Paris","Maya Taxi","31/12","contact@taximayas.com","0123457005"
"TB FIBER","92345678901451","340 Avenue de la Fibre, 75000 Paris","Thibault Benoît","31/12","contact@tbfiber.com","0123457006"
"TGT AUTOMOBILE","92345678901452","341 Rue de l'Auto, 75000 Paris","Thomas GTI","31/12","contact@tgtautomobile.com","0123457007"
"THE MOON'S SERVICES","92345678901453","342 Boulevard de la Lune, 75000 Paris","Luna Services","31/12","contact@themoonservices.com","0123457008"
"THT SERVICES","92345678901454","343 Avenue des Services, 75000 Paris","Thomas Henry","31/12","contact@thtservices.com","0123457009"
"TK PROTECT","92345678901455","344 Rue de la Protection, 75000 Paris","Kamel Toumi","31/12","contact@tkprotect.com","0123457010"
"TK SERVICES","92345678901456","345 Boulevard des Services, 75000 Paris","Tarik Kaci","31/12","contact@tkservices.com","0123457011"
"TM SERVICES PLUS","92345678901457","346 Avenue des Services Plus, 75000 Paris","Thierry Michel","31/12","contact@tmservicesplus.com","0123457012"
"TNSAM","92345678901458","347 Rue de TNSAM, 75000 Paris","Tarik Nabil","31/12","contact@tnsam.com","0123457013"
"TRANS AKSEL","92345678901459","348 Boulevard du Transport, 75000 Paris","Aksel Trans","31/12","contact@transaksel.com","0123457014"
"TRANS ALISON","92345678901460","349 Avenue Alison, 75000 Paris","Alison Transport","31/12","contact@transalison.com","0123457015"
"TRANS CHABOUR","92345678901461","350 Rue Chabour, 75000 Paris","Chabour Trans","31/12","contact@transchabour.com","0123457016"
"TRANS LYDIA","92345678901462","351 Boulevard Lydia, 75000 Paris","Lydia Transport","31/12","contact@translydia.com","0123457017"
"TRANS R.N MAM","92345678901463","352 Avenue RN, 75000 Paris","Mamadou RN","31/12","contact@transrnmam.com","0123457018"
"TRANS-PRO COLIS","92345678901464","353 Rue des Colis, 75000 Paris","Pro Colis","31/12","contact@transprocolis.com","0123457019"
"TRANSPORT DU JOUR","92345678901465","354 Boulevard du Jour, 75000 Paris","Julie Transport","31/12","contact@transportdujour.com","0123457020"
"TRANSPORT PLUS","92345678901466","355 Avenue du Plus, 75000 Paris","Plus Trans","31/12","contact@transportplus.com","0123457021"
"TRANSPRO'N","92345678901467","356 Rue Transpro, 75000 Paris","Nabil Transpro","31/12","contact@transpron.com","0123457022"
"TRANSVERT EXPRESS","92345678901468","357 Boulevard Vert, 75000 Paris","Express Vert","31/12","contact@transvertexpress.com","0123457023"
"TRANSFASTE","92345678901469","358 Avenue Rapide, 75000 Paris","Fabrice Ste-T","31/12","contact@transfaste.com","0123457024"
"TRUCKPRO92","92345678901470","359 Rue du Camion, 92000 Nanterre","Pro Truck","31/12","contact@truckpro92.com","0123457025"
"TT BATIMENT","92345678901471","360 Boulevard du Bâtiment, 75000 Paris","Tarek Tounsi","31/12","contact@ttbatiment.com","0123457026"
"ULTIME GUARD","92345678901472","361 Avenue de la Garde, 75000 Paris","Ulysse Guard","31/12","contact@ultimeguard.com","0123457027"
"ULTIME GUARD PROTECTION","92345678901473","362 Rue de la Protection, 75000 Paris","Ugo Gardien","31/12","contact@ultimeguardprotection.com","0123457028"
"V N T","92345678901474","363 Boulevard VNT, 75000 Paris","Vincent Net","31/12","contact@vnt.com","0123457029"
"V N T VIVANETT-VIVACARWASH","92345678901475","364 Avenue du Lavage, 75000 Paris","Viva Nett","31/12","contact@vntviva.com","0123457030"
"VGS AUTOS","92345678901476","365 Rue des Autos, 75000 Paris","Vianney Autos","31/12","contact@vgsautos.com","0123457031"
"VIGICORE SECURITY","92345678901477","366 Boulevard du Coeur, 75000 Paris","Corentin Vigil","31/12","contact@vigicore.com","0123457032"
"VIGILENCE SECURITY","92345678901478","367 Avenue de la Vigilance, 75000 Paris","Vincent Security","31/12","contact@vigilencesecurity.com","0123457033"
"VROOM AUTO PLUS","92345678901479","368 Rue Vroom, 75000 Paris","Valérie Auto","31/12","contact@vroomautoplus.com","0123457034"
"VSW SAS","12345678901234","10 RUE DE LA PAIX 75002 PARIS","Victor Hugo","31/12","vsw.contact@gmail.com","0142000005"
"WABEN LOGISTIQUE","92345678901480","369 Boulevard de la Logistique, 75000 Paris","Walid Benali","31/12","contact@waben.com","0123457035"
"WALT SERVICES","92345678901481","370 Avenue Walt, 75000 Paris","Walter Services","31/12","contact@waltservices.com","0123457036"
"WINGS SECURITY PRIVEE","92345678901482","371 Rue des Ailes, 75000 Paris","Wendy Secura","31/12","contact@wingssecurity.com","0123457037"
"WIPRO GARDIENNAGE","92345678901483","372 Boulevard du Gardiennage, 75000 Paris","William Pro","31/12","contact@wiprogardiennage.com","0123457038"
"WS CONSULTING","92345678901484","373 Avenue du Consulting, 75000 Paris","Wassim Consulting","31/12","contact@wsconsulting.com","0123457039"
"XXXXXXXXXXXBR SCORPION","92345678901485","374 Rue du Scorpion, 75000 Paris","Bruno Scorpion","31/12","contact@brscorpionX.com","0123457040"
"YAN CONSULTING","92345678901486","375 Boulevard du Conseil, 75000 Paris","Yanis Consulting","31/12","contact@yanconsulting.com","0123457041"
"YAN DRIVE","92345678901487","376 Avenue du Chauffeur, 75000 Paris","Yanis Drive","31/12","contact@yandrive.com","0123457042"
"ZANCO METAL","92345678901488","377 Rue du Métal, 75000 Paris","Zack Naco","31/12","contact@zancometal.com","0123457043"
"ZEN SECURITY","92345678901489","378 Boulevard Zen, 75000 Paris","Zoe Zen","31/12","contact@zensecurity.com","0123457044"
"ZLS SECURITE","92345678901490","379 Avenue de la Sécurité, 75000 Paris","Zinedine LS","31/12","contact@zlssecurite.com","0123457045"
"ZM TRANS","92345678901491","380 Rue du Transit, 75000 Paris","Zakaria Mounir","31/12","contact@zmtrans.com","0123457046"
